Gmt time,Ask,Bid,AskVolume,BidVolume
07.04.2023 00:00:00.052,13048.801000000001,13045.608999999999,0.0004,0.0012
07.04.2023 00:00:00.103,13049.051000000001,13045.599,0.0004,0.0004
07.04.2023 00:00:00.200,13049.083,13046.099,0.0004,0.0004
07.04.2023 00:00:00.250,13049.581000000002,13046.009,0.0004,0.0004
07.04.2023 00:00:00.676,13048.701000000001,13045.239,0.0004,0.0012
07.04.2023 00:00:00.727,13048.771,13045.269,0.0004,0.0004
07.04.2023 00:00:00.836,13048.713000000002,13045.519,0.0004,0.0004
07.04.2023 00:00:00.887,13048.811000000002,13045.798999999999,0.0004,0.0004
07.04.2023 00:00:00.996,13048.751000000002,13045.269,0.0004,0.0012
07.04.2023 00:00:01.047,13048.711000000001,13045.298999999999,0.0004,0.0004
07.04.2023 00:00:01.158,13048.241000000002,13044.989,0.0004,0.0012
07.04.2023 00:00:01.208,13048.221000000001,13044.769,0.0004,0.0004
07.04.2023 00:00:01.325,13048.193000000001,13045.108999999999,0.0004,0.0004
07.04.2023 00:00:01.376,13048.311000000002,13045.028999999999,0.0004,0.0004
07.04.2023 00:00:02.815,13048.543000000001,13045.239,0.0004,0.0004
07.04.2023 00:00:02.865,13048.681,13045.319,0.0004,0.0004
07.04.2023 00:00:02.974,13048.703000000001,13046.019,0.0004,0.0004
07.04.2023 00:00:03.025,13049.541000000001,13046.038999999999,0.0004,0.0004
07.04.2023 00:00:03.134,13049.241000000002,13045.759,0.0004,0.0012
07.04.2023 00:00:03.197,13049.241000000002,13045.809,0.0004,0.0004
07.04.2023 00:00:03.293,13049.203000000001,13045.829,0.0004,0.0004
07.04.2023 00:00:03.344,13049.341,13045.819,0.0004,0.0004
07.04.2023 00:00:03.455,13049.363000000001,13046.099,0.0004,0.0004
07.04.2023 00:00:03.506,13049.481000000002,13046.019,0.0004,0.0004
07.04.2023 00:00:03.616,13049.503,13046.188999999998,0.0004,0.0004
07.04.2023 00:00:03.667,13049.621000000001,13046.118999999999,0.0004,0.0004
07.04.2023 00:00:03.775,13049.683,13046.269,0.0004,0.0004
07.04.2023 00:00:03.826,13049.761,13046.298999999999,0.0004,0.0004
07.04.2023 00:00:03.934,13049.693000000001,13046.509,0.0004,0.0004
07.04.2023 00:00:03.984,13050.051000000001,13046.559,0.0004,0.0004
07.04.2023 00:00:04.574,13050.083,13047.108999999999,0.0004,0.0004
07.04.2023 00:00:04.624,13050.561000000002,13047.009,0.0004,0.0004
07.04.2023 00:00:05.359,13050.523000000001,13047.249,0.0004,0.0004
07.04.2023 00:00:05.409,13050.721000000001,13047.259,0.0004,0.0004
07.04.2023 00:00:05.787,13050.713000000002,13047.519,0.0004,0.0004
07.04.2023 00:00:05.838,13051.071000000002,13047.509,0.0004,0.0004
07.04.2023 00:00:06.107,13050.791000000001,13047.489,0.0004,0.0012
07.04.2023 00:00:06.158,13050.691,13047.489,0.0004,0.0004
07.04.2023 00:00:06.269,13050.531,13047.287,0.0004,0.0004
07.04.2023 00:00:06.320,13050.541000000001,13047.048999999999,0.0004,0.0004
07.04.2023 00:00:06.653,13050.573,13047.229,0.0004,0.0004
07.04.2023 00:00:06.704,13050.501000000002,13047.239,0.0004,0.0004
07.04.2023 00:00:07.642,13050.773000000001,13048.019,0.0004,0.0004
07.04.2023 00:00:07.693,13051.481000000002,13048.079,0.0004,0.0004
07.04.2023 00:00:07.966,13050.711000000001,13047.298999999999,0.0004,0.0012
07.04.2023 00:00:08.017,13050.781,13047.288999999999,0.0004,0.0004
07.04.2023 00:00:08.122,13050.783000000001,13047.519,0.0004,0.0004
07.04.2023 00:00:08.173,13051.061000000002,13047.589,0.0004,0.0004
07.04.2023 00:00:08.701,13050.983,13048.099,0.0004,0.0004
07.04.2023 00:00:08.752,13051.331000000002,13047.899,0.0004,0.0004
07.04.2023 00:00:08.861,13051.323,13048.118999999999,0.0004,0.0004
07.04.2023 00:00:08.912,13051.531,13048.089,0.0004,0.0004
07.04.2023 00:00:09.143,13051.341,13048.087,0.0004,0.0004
07.04.2023 00:00:09.194,13051.291000000001,13048.099,0.0004,0.0004
07.04.2023 00:00:09.303,13051.323,13048.009,0.0004,0.0004
07.04.2023 00:00:09.354,13051.541000000001,13048.009,0.0004,0.0004
07.04.2023 00:00:09.843,13051.301000000001,13048.067,0.0004,0.0004
07.04.2023 00:00:09.894,13051.301000000001,13047.839,0.0004,0.0004
07.04.2023 00:00:10.005,13051.061000000002,13047.559,0.0004,0.0012
