Symbol, Date, Open, High, Low, Close, Volume
MCD, 2021-09-15T13:30:00.000Z, 0.78915, 0.7893, 0.78885, 0.78885, -1
MCD, 2021-09-15T13:31:00.000Z, 0.78885, 0.789, 0.78885, 0.78895, -1
MCD, 2021-09-15T13:32:00.000Z, 0.78895, 0.789, 0.78875, 0.7888, -1
MCD, 2021-09-15T13:33:00.000Z, 0.7888, 0.789, 0.7887, 0.78875, -1
MCD, 2021-09-15T13:34:00.000Z, 0.78875, 0.789, 0.78875, 0.7889, -1
MCD, 2021-09-15T13:35:00.000Z, 0.7889, 0.7889, 0.78875, 0.7888, -1
MCD, 2021-09-15T13:36:00.000Z, 0.7888, 0.789, 0.7888, 0.78885, -1
MCD, 2021-09-15T13:37:00.000Z, 0.78885, 0.78885, 0.78845, 0.7886, -1
MCD, 2021-09-15T13:38:00.000Z, 0.7886, 0.7887, 0.7884, 0.78845, -1
MCD, 2021-09-15T13:39:00.000Z, 0.78845, 0.7886, 0.7883, 0.7884, -1
MCD, 2021-09-15T13:40:00.000Z, 0.7884, 0.7887, 0.7884, 0.7887, -1
MCD, 2021-09-15T13:41:00.000Z, 0.7887, 0.7888, 0.7886, 0.78875, -1
MCD, 2021-09-15T13:42:00.000Z, 0.78875, 0.78895, 0.7887, 0.7888, -1
MCD, 2021-09-15T13:43:00.000Z, 0.7888, 0.789, 0.7888, 0.789, -1
MCD, 2021-09-15T13:44:00.000Z, 0.789, 0.7891, 0.789, 0.78905, -1
MCD, 2021-09-15T13:45:00.000Z, 0.78905, 0.7895, 0.78905, 0.7894, -1
MCD, 2021-09-15T13:46:00.000Z, 0.7894, 0.7898, 0.78925, 0.7893, -1
MCD, 2021-09-15T13:47:00.000Z, 0.7893, 0.7896, 0.7893, 0.78955, -1
MCD, 2021-09-15T13:48:00.000Z, 0.78955, 0.79, 0.7894, 0.79, -1
MCD, 2021-09-15T13:49:00.000Z, 0.79, 0.7905, 0.7899, 0.7905, -1
MCD, 2021-09-15T13:50:00.000Z, 0.7905, 0.79065, 0.7904, 0.7906, -1
MCD, 2021-09-15T13:51:00.000Z, 0.7906, 0.79065, 0.7905, 0.7905, -1
MCD, 2021-09-15T13:52:00.000Z, 0.7905, 0.7906, 0.7901, 0.7901, -1
MCD, 2021-09-15T13:53:00.000Z, 0.7901, 0.7905, 0.79, 0.7905, -1
MCD, 2021-09-15T13:54:00.000Z, 0.7905, 0.7908, 0.7903, 0.7905, -1
MCD, 2021-09-15T13:55:00.000Z, 0.7905, 0.791, 0.7905, 0.79085, -1
MCD, 2021-09-15T13:56:00.000Z, 0.79085, 0.791, 0.7908, 0.7909, -1
MCD, 2021-09-15T13:57:00.000Z, 0.7909, 0.7911, 0.7907, 0.7909, -1
MCD, 2021-09-15T13:58:00.000Z, 0.7909, 0.79095, 0.7907, 0.79075, -1
MCD, 2021-09-15T13:59:00.000Z, 0.79075, 0.79095, 0.79075, 0.7909, -1
MCD, 2021-09-15T14:00:00.000Z, 0.7909, 0.7911, 0.7909, 0.7911, -1
MCD, 2021-09-15T14:01:00.000Z, 0.7911, 0.7913, 0.791, 0.7912, -1
MCD, 2021-09-15T14:02:00.000Z, 0.7912, 0.7915, 0.7911, 0.79125, -1
MCD, 2021-09-15T14:03:00.000Z, 0.79125, 0.7913, 0.7909, 0.79095, -1
MCD, 2021-09-15T14:04:00.000Z, 0.79095, 0.7914, 0.7909, 0.79125, -1
MCD, 2021-09-15T14:05:00.000Z, 0.79125, 0.7913, 0.7907, 0.79075, -1
MCD, 2021-09-15T14:06:00.000Z, 0.79075, 0.79075, 0.7902, 0.79025, -1
MCD, 2021-09-15T14:07:00.000Z, 0.79025, 0.7903, 0.7902, 0.7902, -1
MCD, 2021-09-15T14:08:00.000Z, 0.7902, 0.7906, 0.7902, 0.79055, -1
MCD, 2021-09-15T14:09:00.000Z, 0.79055, 0.79055, 0.7904, 0.7905, -1
MCD, 2021-09-15T14:10:00.000Z, 0.7905, 0.7908, 0.79045, 0.7908, -1
MCD, 2021-09-15T14:11:00.000Z, 0.7908, 0.7908, 0.7905, 0.79055, -1
MCD, 2021-09-15T14:12:00.000Z, 0.79055, 0.79055, 0.7901, 0.79015, -1
MCD, 2021-09-15T14:13:00.000Z, 0.79015, 0.7902, 0.7901, 0.79015, -1
MCD, 2021-09-15T14:14:00.000Z, 0.79015, 0.7902, 0.79, 0.7902, -1
MCD, 2021-09-15T14:15:00.000Z, 0.7902, 0.7902, 0.7899, 0.78995, -1
MCD, 2021-09-15T14:16:00.000Z, 0.78995, 0.7902, 0.7899, 0.79005, -1
MCD, 2021-09-15T14:17:00.000Z, 0.79005, 0.7904, 0.79005, 0.79025, -1
MCD, 2021-09-15T14:18:00.000Z, 0.79025, 0.7903, 0.7902, 0.7902, -1
MCD, 2021-09-15T14:19:00.000Z, 0.7902, 0.7905, 0.79015, 0.7905, -1
MCD, 2021-09-15T14:20:00.000Z, 0.7905, 0.7906, 0.7904, 0.7905, -1
MCD, 2021-09-15T14:21:00.000Z, 0.7905, 0.7906, 0.7903, 0.79035, -1
MCD, 2021-09-15T14:22:00.000Z, 0.79035, 0.7904, 0.7901, 0.7903, -1
MCD, 2021-09-15T14:23:00.000Z, 0.7903, 0.7906, 0.7903, 0.79045, -1
MCD, 2021-09-15T14:24:00.000Z, 0.79045, 0.7906, 0.79045, 0.7906, -1
MCD, 2021-09-15T14:25:00.000Z, 0.7906, 0.7908, 0.7906, 0.79065, -1
MCD, 2021-09-15T14:26:00.000Z, 0.79065, 0.7907, 0.7906, 0.7906, -1
MCD, 2021-09-15T14:27:00.000Z, 0.7906, 0.7907, 0.7904, 0.7905, -1
MCD, 2021-09-15T14:28:00.000Z, 0.7905, 0.7905, 0.79045, 0.79045, -1
MCD, 2021-09-15T14:29:00.000Z, 0.79045, 0.7905, 0.79025, 0.7903, -1
MCD, 2021-09-15T14:30:00.000Z, 0.7903, 0.7905, 0.79, 0.79045, -1
MCD, 2021-09-15T14:31:00.000Z, 0.79045, 0.7905, 0.7903, 0.7904, -1
MCD, 2021-09-15T14:32:00.000Z, 0.7904, 0.7905, 0.7904, 0.7904, -1
