Symbol, Date, Open, High, Low, Close, Volume
M6E, 2021-11-24T14:30:00.000Z, 1.12265, 1.1229, 1.12265, 1.12275, -1
M6E, 2021-11-24T14:31:00.000Z, 1.12275, 1.1232, 1.1227, 1.1229, -1
M6E, 2021-11-24T14:32:00.000Z, 1.1229, 1.12305, 1.12265, 1.12295, -1
M6E, 2021-11-24T14:33:00.000Z, 1.12295, 1.1232, 1.1228, 1.123, -1
M6E, 2021-11-24T14:34:00.000Z, 1.123, 1.1232, 1.12285, 1.123, -1
M6E, 2021-11-24T14:35:00.000Z, 1.123, 1.12315, 1.1229, 1.1231, -1
M6E, 2021-11-24T14:36:00.000Z, 1.1231, 1.1233, 1.1229, 1.1233, -1
M6E, 2021-11-24T14:37:00.000Z, 1.1233, 1.12425, 1.1233, 1.1242, -1
M6E, 2021-11-24T14:38:00.000Z, 1.1242, 1.12425, 1.124, 1.124, -1
M6E, 2021-11-24T14:39:00.000Z, 1.124, 1.12415, 1.1239, 1.1241, -1
M6E, 2021-11-24T14:40:00.000Z, 1.1241, 1.12445, 1.124, 1.12445, -1
M6E, 2021-11-24T14:41:00.000Z, 1.12445, 1.12495, 1.12435, 1.12495, -1
M6E, 2021-11-24T14:42:00.000Z, 1.12495, 1.125, 1.1245, 1.1245, -1
M6E, 2021-11-24T14:43:00.000Z, 1.1245, 1.12465, 1.1244, 1.1245, -1
M6E, 2021-11-24T14:44:00.000Z, 1.1245, 1.1246, 1.1241, 1.1242, -1
M6E, 2021-11-24T14:45:00.000Z, 1.1242, 1.1243, 1.1239, 1.124, -1
M6E, 2021-11-24T14:46:00.000Z, 1.124, 1.1242, 1.12395, 1.1241, -1
M6E, 2021-11-24T14:47:00.000Z, 1.1241, 1.12415, 1.1238, 1.1239, -1
M6E, 2021-11-24T14:48:00.000Z, 1.1239, 1.124, 1.12375, 1.12385, -1
M6E, 2021-11-24T14:49:00.000Z, 1.12385, 1.12405, 1.1237, 1.124, -1
M6E, 2021-11-24T14:50:00.000Z, 1.124, 1.12415, 1.1238, 1.1239, -1
M6E, 2021-11-24T14:51:00.000Z, 1.1239, 1.12395, 1.1237, 1.1238, -1
M6E, 2021-11-24T14:52:00.000Z, 1.1238, 1.124, 1.1236, 1.1237, -1
M6E, 2021-11-24T14:53:00.000Z, 1.1237, 1.12375, 1.12345, 1.1235, -1
M6E, 2021-11-24T14:54:00.000Z, 1.1235, 1.1238, 1.1234, 1.1238, -1
M6E, 2021-11-24T14:55:00.000Z, 1.1238, 1.1239, 1.1236, 1.1236, -1
M6E, 2021-11-24T14:56:00.000Z, 1.1236, 1.12385, 1.1236, 1.1238, -1
M6E, 2021-11-24T14:57:00.000Z, 1.1238, 1.1238, 1.1236, 1.1236, -1
M6E, 2021-11-24T14:58:00.000Z, 1.1236, 1.12385, 1.1236, 1.1237, -1
M6E, 2021-11-24T14:59:00.000Z, 1.1237, 1.1238, 1.1234, 1.12345, -1
M6E, 2021-11-24T15:00:00.000Z, 1.12345, 1.12465, 1.12345, 1.1246, -1
M6E, 2021-11-24T15:01:00.000Z, 1.1246, 1.12475, 1.1243, 1.1246, -1
M6E, 2021-11-24T15:02:00.000Z, 1.1246, 1.1247, 1.12415, 1.1242, -1
M6E, 2021-11-24T15:03:00.000Z, 1.1242, 1.12425, 1.1239, 1.1241, -1
M6E, 2021-11-24T15:04:00.000Z, 1.1241, 1.1242, 1.1238, 1.1238, -1
M6E, 2021-11-24T15:05:00.000Z, 1.1238, 1.12395, 1.12365, 1.1237, -1
M6E, 2021-11-24T15:06:00.000Z, 1.1237, 1.12405, 1.12365, 1.124, -1
M6E, 2021-11-24T15:07:00.000Z, 1.124, 1.12405, 1.12375, 1.1238, -1
M6E, 2021-11-24T15:08:00.000Z, 1.1238, 1.1238, 1.12365, 1.1237, -1
M6E, 2021-11-24T15:09:00.000Z, 1.1237, 1.12375, 1.1234, 1.1234, -1
