Gmt time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 01:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 02:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 03:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 04:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 05:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 06:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 07:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 08:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 09:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 10:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 11:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 12:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 13:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 14:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 15:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 16:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 17:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 18:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 19:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 20:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 21:00:00.000,0.67304,0.67304,0.67304,0.67304,0
01.01.2020 22:00:00.000,0.67167,0.67302,0.67160,0.67275,2103.1599
01.01.2020 23:00:00.000,0.67278,0.67369,0.67260,0.67356,1862.86
02.01.2020 00:00:00.000,0.67357,0.67390,0.67312,0.67330,3957.8
02.01.2020 01:00:00.000,0.67329,0.67369,0.67276,0.67308,4125.4702
02.01.2020 02:00:00.000,0.67306,0.67323,0.67259,0.67285,3601.75
02.01.2020 03:00:00.000,0.67287,0.67295,0.67213,0.67217,2325.6299
02.01.2020 04:00:00.000,0.67218,0.67245,0.67180,0.67193,2147.1101
02.01.2020 05:00:00.000,0.67193,0.67224,0.67135,0.67219,3644.52
02.01.2020 06:00:00.000,0.67219,0.67230,0.67157,0.67184,2786.76
02.01.2020 07:00:00.000,0.67189,0.67229,0.67169,0.67210,3457.3501
02.01.2020 08:00:00.000,0.67209,0.67250,0.67158,0.67204,3617.3701
02.01.2020 09:00:00.000,0.67203,0.67235,0.67070,0.67082,3575.3899
02.01.2020 10:00:00.000,0.67084,0.67101,0.67000,0.67054,3435.5
02.01.2020 11:00:00.000,0.67054,0.67065,0.66841,0.66881,4187.1602
02.01.2020 12:00:00.000,0.66881,0.66959,0.66847,0.66941,5212.4902
02.01.2020 13:00:00.000,0.66941,0.67016,0.66923,0.67012,3646.6899
02.01.2020 14:00:00.000,0.67014,0.67073,0.66918,0.67052,6513
02.01.2020 15:00:00.000,0.67051,0.67133,0.67006,0.67120,9478.0801
