Gmt time,Open,High,Low,Close,Volume
13.04.2021 13:00:00.000,0.92247,0.92260,0.92078,0.92206,8775.2803
13.04.2021 14:00:00.000,0.92206,0.92267,0.92141,0.92237,6997.7998
13.04.2021 15:00:00.000,0.92235,0.92262,0.92124,0.92131,4762.6001
13.04.2021 16:00:00.000,0.92130,0.92137,0.92063,0.92123,2620.28
13.04.2021 17:00:00.000,0.92123,0.92131,0.92040,0.92082,3056.04
13.04.2021 18:00:00.000,0.92082,0.92111,0.92042,0.92054,2390.6599
13.04.2021 19:00:00.000,0.92054,0.92076,0.91973,0.91986,2113.1899
13.04.2021 20:00:00.000,0.91987,0.92088,0.91987,0.92051,1316.02
13.04.2021 21:00:00.000,0.92051,0.92064,0.92040,0.92049,266.71
13.04.2021 22:00:00.000,0.92049,0.92067,0.92043,0.92061,998.04
13.04.2021 23:00:00.000,0.92061,0.92080,0.92013,0.92027,826.71
14.04.2021 00:00:00.000,0.92026,0.92043,0.91991,0.92026,1550.92
14.04.2021 01:00:00.000,0.92025,0.92026,0.91973,0.92014,1591.5
14.04.2021 02:00:00.000,0.92016,0.92052,0.91958,0.91974,1682.5601
14.04.2021 03:00:00.000,0.91975,0.91995,0.91955,0.91985,1428.8199
14.04.2021 04:00:00.000,0.91986,0.91993,0.91956,0.91974,1204.16
14.04.2021 05:00:00.000,0.91974,0.92009,0.91966,0.91969,1105.0699
14.04.2021 06:00:00.000,0.91969,0.92029,0.91935,0.91961,3365.9399
14.04.2021 07:00:00.000,0.91960,0.92076,0.91926,0.92046,4225.2402
14.04.2021 08:00:00.000,0.92046,0.92066,0.91890,0.91910,4118.5298
14.04.2021 09:00:00.000,0.91910,0.92177,0.91864,0.92161,4189.8999
14.04.2021 10:00:00.000,0.92161,0.92234,0.92088,0.92232,3761.1399
14.04.2021 11:00:00.000,0.92235,0.92317,0.92206,0.92246,4554.6299
14.04.2021 12:00:00.000,0.92246,0.92264,0.92190,0.92220,3439.54
14.04.2021 13:00:00.000,0.92221,0.92295,0.92152,0.92286,8714.3701
14.04.2021 14:00:00.000,0.92283,0.92338,0.92182,0.92310,8297.0703
14.04.2021 15:00:00.000,0.92310,0.92311,0.92234,0.92281,4005.9199
14.04.2021 16:00:00.000,0.92281,0.92313,0.92203,0.92223,2619.49
14.04.2021 17:00:00.000,0.92222,0.92312,0.92203,0.92276,1869.38
14.04.2021 18:00:00.000,0.92276,0.92301,0.92253,0.92280,1410.16
14.04.2021 19:00:00.000,0.92280,0.92306,0.92257,0.92261,2136.79
14.04.2021 20:00:00.000,0.92261,0.92295,0.92236,0.92236,1523.13
14.04.2021 21:00:00.000,0.92236,0.92276,0.92174,0.92239,1822.14
14.04.2021 22:00:00.000,0.92240,0.92316,0.92233,0.92307,687.14
14.04.2021 23:00:00.000,0.92306,0.92316,0.92271,0.92273,952.89
15.04.2021 00:00:00.000,0.92272,0.92288,0.92242,0.92262,2330.6499
15.04.2021 01:00:00.000,0.92260,0.92391,0.92235,0.92363,3792.23
15.04.2021 02:00:00.000,0.92364,0.92395,0.92319,0.92391,2372.74
15.04.2021 03:00:00.000,0.92391,0.92398,0.92354,0.92356,6661.3301
15.04.2021 04:00:00.000,0.92357,0.92379,0.92346,0.92372,4634.4502
15.04.2021 05:00:00.000,0.92371,0.92372,0.92321,0.92351,1884.11
15.04.2021 06:00:00.000,0.92351,0.92364,0.92254,0.92294,3138.1299
15.04.2021 07:00:00.000,0.92293,0.92303,0.92170,0.92282,4054.7
15.04.2021 08:00:00.000,0.92283,0.92344,0.92204,0.92260,4449.7402
15.04.2021 09:00:00.000,0.92262,0.92265,0.92135,0.92243,5603.5801
15.04.2021 10:00:00.000,0.92243,0.92379,0.92235,0.92359,3533.46
15.04.2021 11:00:00.000,0.92359,0.92364,0.92292,0.92304,2950.46
15.04.2021 12:00:00.000,0.92303,0.92453,0.92169,0.92442,6973.02
15.04.2021 13:00:00.000,0.92442,0.92452,0.92143,0.92191,7101.3599
15.04.2021 14:00:00.000,0.92191,0.92232,0.92061,0.92179,7578.6499
15.04.2021 15:00:00.000,0.92180,0.92301,0.92119,0.92271,3931.5
15.04.2021 16:00:00.000,0.92271,0.92275,0.92196,0.92231,2543.25
